alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,18670349.203148,1.25,0.5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18579172.580503,1.25,1,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18548786.876625,1.25,1.5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18509108.449366,1.25,2,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18492937.496981,1.25,2.5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18343590.417399,1.25,3,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,18096706.159268,1.25,3.5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,17808311.021704,1.25,4,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,17518818.498992,1.25,4.5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,17265836.745271,1.25,5,-0.5,7250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,21109391.712311,1.25,0.5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20829166.931571,1.25,1,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20807428.852315,1.25,1.5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20775139.772572,1.25,2,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20720896.368952,1.25,2.5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20667302.387602,1.25,3,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20455577.746402,1.25,3.5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,20145599.854168,1.25,4,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,19800531.767352,1.25,4.5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,19468406.850384,1.25,5,-0.5,7500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,23175961.654541,1.25,1,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,23129010.210637,1.25,1.5,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,23132458.434899,1.25,2,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,23085562.820535,1.25,2.5,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,23006235.352889,1.25,3,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,22905192.811491,1.25,3.5,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,22624286.75193,1.25,4,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,22248615.888894,1.25,4.5,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,21845828.564282,1.25,5,-0.5,7750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25559290.355137,1.25,1,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25471633.382748,1.25,1.5,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25501064.322813,1.25,2,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25505382.326319,1.25,2.5,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25438255.745762,1.25,3,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25341397.061045,1.25,3.5,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,25187114.012862,1.25,4,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,24830154.20428,1.25,4.5,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,24381854.180895,1.25,5,-0.5,8000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27779812.204142,1.25,1,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27799961.514465,1.25,1.5,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27837859.712654,1.25,2,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27895802.936432,1.25,2.5,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27899320.083422,1.25,3,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27811984.570046,1.25,3.5,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27708955.989931,1.25,4,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27489050.238323,1.25,4.5,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,27051024.550179,1.25,5,-0.5,8250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30095032.847643,1.25,1.5,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30146095.711635,1.25,2,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30229956.928166,1.25,2.5,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30292369.328687,1.25,3,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30281906.138279,1.25,3.5,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30178379.60391,1.25,4,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,30093538.153167,1.25,4.5,-0.5,8500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,29793309.622824,1.25,5,-0.5,8500,2,6120.6481623918
