atmosphere,feh,filter,flux,logg,teff,wavelength
Synspec,0,Palomar/ZTF.g,118018733.51685,3.5,11000,4746.4797383749
Synspec,0,Palomar/ZTF.g,117504030.72752,4,11000,4746.4797383749
Synspec,0,Palomar/ZTF.g,116745331.88042,4.5,11000,4746.4797383749
Synspec,0,Palomar/ZTF.g,115781049.77525,5,11000,4746.4797383749
Synspec,0,Palomar/ZTF.g,128617018.28632,2.5,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,129587583.54685,3,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,129526564.71469,3.5,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,128946464.81725,4,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,128104511.03918,4.5,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,127078606.77358,5,11500,4746.4797383749
Synspec,0,Palomar/ZTF.g,140045088.56359,2.5,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,141177169.18767,3,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,141151159.39522,3.5,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,140537166.48392,4,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,139606177.58202,4.5,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,138491158.69197,5,12000,4746.4797383749
Synspec,0,Palomar/ZTF.g,151620387.37133,2.5,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,152853686.12385,3,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,152861575.44625,3.5,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,152241402.36538,4,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,151251207.72378,4.5,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,150048026.29959,5,12500,4746.4797383749
Synspec,0,Palomar/ZTF.g,163370834.88622,2.5,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,164652632.9372,3,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,164651481.80093,3.5,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,164026927.3213,4,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,163012697.42292,4.5,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,161747843.68775,5,13000,4746.4797383749
Synspec,0,Palomar/ZTF.g,187635517.20666,2.5,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,188718913.27136,3,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,188550900.09474,3.5,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,187831606.57187,4,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,186792493.37247,4.5,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,185490194.40538,5,14000,4746.4797383749
Synspec,0,Palomar/ZTF.g,213284777.17297,2.5,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,213782747.41642,3,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,213107184.08054,3.5,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,212107394.6251,4,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,210959693.86316,4.5,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,209656606.0251,5,15000,4746.4797383749
Synspec,0,Palomar/ZTF.g,240643284.08995,2.5,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,240216269.84735,3,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,238669851.27605,3.5,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,237110176.92566,4,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,235662117.21025,4.5,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,234260474.67936,5,16000,4746.4797383749
Synspec,0,Palomar/ZTF.g,269928473.12477,2.5,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,268338390.16312,3,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,265526273.2723,3.5,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,263086320.54306,4,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,261120248.047,4.5,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,259454066.57693,5,17000,4746.4797383749
Synspec,0,Palomar/ZTF.g,301173832.74712,2.5,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,298405483.37915,3,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,293991884.91163,3.5,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,290352676.14254,4,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,287590478.27202,4.5,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,285465162.44219,5,18000,4746.4797383749
Synspec,0,Palomar/ZTF.g,334200022.2779,2.5,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,330621201.06967,3,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,324280263.92871,3.5,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,319118020.703,4,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,315301739.5542,4.5,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,312502649.14787,5,19000,4746.4797383749
Synspec,0,Palomar/ZTF.g,365055852.79341,3,20000,4746.4797383749
Synspec,0,Palomar/ZTF.g,356598263.80072,3.5,20000,4746.4797383749
Synspec,0,Palomar/ZTF.g,349606720.02219,4,20000,4746.4797383749
Synspec,0,Palomar/ZTF.g,344484028.97548,4.5,20000,4746.4797383749
Synspec,0,Palomar/ZTF.g,340801142.83377,5,20000,4746.4797383749
Synspec,0,Palomar/ZTF.g,401547050.38396,3,21000,4746.4797383749
Synspec,0,Palomar/ZTF.g,391029420.48898,3.5,21000,4746.4797383749
Synspec,0,Palomar/ZTF.g,382017024.70453,4,21000,4746.4797383749
Synspec,0,Palomar/ZTF.g,375337164.93338,4.5,21000,4746.4797383749
Synspec,0,Palomar/ZTF.g,370566112.05299,5,21000,4746.4797383749
Synspec,0,Palomar/ZTF.g,439743073.94604,3,22000,4746.4797383749
Synspec,0,Palomar/ZTF.g,427530068.76939,3.5,22000,4746.4797383749
Synspec,0,Palomar/ZTF.g,416410009.49818,4,22000,4746.4797383749
Synspec,0,Palomar/ZTF.g,407991079.45737,4.5,22000,4746.4797383749
Synspec,0,Palomar/ZTF.g,401949838.34242,5,22000,4746.4797383749
Synspec,0,Palomar/ZTF.g,479525659.51897,3,23000,4746.4797383749
Synspec,0,Palomar/ZTF.g,465905705.25614,3.5,23000,4746.4797383749
Synspec,0,Palomar/ZTF.g,452826719.36025,4,23000,4746.4797383749
Synspec,0,Palomar/ZTF.g,442600191.6355,4.5,23000,4746.4797383749
Synspec,0,Palomar/ZTF.g,435155686.51556,5,23000,4746.4797383749
Synspec,0,Palomar/ZTF.g,521871363.12739,3,24000,4746.4797383749
Synspec,0,Palomar/ZTF.g,505916258.7147,3.5,24000,4746.4797383749
Synspec,0,Palomar/ZTF.g,491113521.40392,4,24000,4746.4797383749
Synspec,0,Palomar/ZTF.g,479198388.68861,4.5,24000,4746.4797383749
Synspec,0,Palomar/ZTF.g,470278768.39466,5,24000,4746.4797383749
Synspec,0,Palomar/ZTF.g,568058622.30891,3,25000,4746.4797383749
Synspec,0,Palomar/ZTF.g,547921807.41137,3.5,25000,4746.4797383749
Synspec,0,Palomar/ZTF.g,531169403.70326,4,25000,4746.4797383749
Synspec,0,Palomar/ZTF.g,517776455.58636,4.5,25000,4746.4797383749
Synspec,0,Palomar/ZTF.g,507449693.73482,5,25000,4746.4797383749
Synspec,0,Palomar/ZTF.g,616977078.22287,3,26000,4746.4797383749
Synspec,0,Palomar/ZTF.g,592871768.24505,3.5,26000,4746.4797383749
